sample number,reduction,reduction_depth,mu,std,q1,env,ws,baltimore_vol_rel,chester_rel,nuclear_rel,env_rel
0,0.7777780860376463,0.5729716064623018,0.6073566126602535,1.1923924843034135,0.396407722788503,1.1448961371424293,1.0027257585412657,1.0,0.7597778473091364,0.8305694618272841,0.8708933041301627
1,0.7777780860376463,0.5729716064623018,0.8589877783758026,1.404737812162114,0.9310071530509829,1.344322737651885,1.1135989643983362,1.0,0.8838782853566959,0.9319852941176471,0.9556476846057572
2,0.7777780860376463,0.5729716064623018,0.8935184628709057,1.116392212519563,0.9790042691766272,1.140264068623761,1.1313921412300854,1.0,0.9665597622027534,0.9860763454317898,0.9928817271589487
3,0.7777780860376463,0.5729716064623018,0.6517199896591295,1.1091886684969405,0.43381387750947376,1.1139417872511987,1.0649820974221909,1.0,0.8263845431789737,0.879654255319149,0.9103958072590739
4,0.7777780860376463,0.5729716064623018,0.8281285994726348,1.0122225979837107,0.3916293241855019,1.3892369320976488,1.1584788508066954,1.0,0.8734746558197747,0.9081273466833542,0.9371088861076345
5,0.7777780860376463,0.5729716064623018,0.628825480101798,1.4555919231869998,0.3265721828117675,1.335423241706542,1.2838962669589118,1.0,0.6646198372966208,0.7387359198998749,0.7898936170212766
6,0.7777780860376463,0.5729716064623018,0.9774410982437061,1.3015118481291352,0.8340327719414655,1.2197721086409623,1.206936338995137,1.0,0.9436795994993742,0.9688673341677096,0.9833776595744681
7,0.7777780860376463,0.5729716064623018,0.8580884088542172,1.1440825055616883,0.9379359474043758,1.2709964265326916,1.1671743478190062,1.0,0.9326892991239049,0.9617881727158949,0.9791927409261577
8,0.7777780860376463,0.5729716064623018,0.7246870117590565,1.1420284857587957,0.818466431276665,1.06690109592359,1.254142226003308,1.0,0.9198216520650814,0.9552956821026283,0.9773545056320401
9,0.7777780860376463,0.5729716064623018,0.8024380776934407,1.0411024837684262,0.8573870183982666,1.1162880223439533,1.3806022324381224,1.0,0.9448529411764706,0.9735215894868585,0.9869759073842302
