,storage_target,rel,hp_average
0,"[2223366968.5473237, 2121095531.9501007, 2336651834.0111547, 2235553833.8560843, 2494068646.0509543, 2495053210.237719, 2482137911.968874, 2460128117.690969, 2243966043.51576, 2162913469.914525, 2379191260.8067093, 2145406024.3363175]",0.987249687108886,700.6163736136505
1,"[2101525613.5832787, 2104054949.4925666, 2118969179.7191389, 1751069725.9499843, 2127676727.0546284, 2289041326.317526, 2184951244.7368937, 2343084133.5202417, 2245445762.066418, 2140806549.657244, 2166686039.0360193, 2121506381.4514966]",0.851063829787234,816.8163383414798
2,"[2204787996.6776586, 2107107910.6410608, 2154875757.036503, 2372389973.559566, 2481999078.503884, 2496763974.5511723, 2482137911.968874, 2475706857.7105665, 2234504068.8741646, 2146388261.074699, 2275287520.3384895, 2145406024.3363175]",0.9849421151439299,718.7135173678585
3,"[2204035205.5860343, 2121095531.9501007, 2322211374.7961273, 2236252796.783824, 2494068646.0509543, 2495053210.237719, 2482137911.968874, 2460128117.690969, 2243974668.3738947, 2162954967.183507, 2379191260.8067093, 2145406024.3363175]",0.9868194618272841,703.4448450915299
4,"[2106504668.6619222, 2118813691.769383, 2129093320.8973796, 2149056033.345321, 2126159702.3774943, 2468644417.3073106, 2477889737.781274, 2335674386.217611, 2265493703.3706803, 2154590514.306369, 2159901288.1894064, 2120227882.761575]",0.922950563204005,770.1107062224064
5,"[2100678097.0503767, 2099932736.7403204, 2239021902.4439473, 2282479707.425942, 2480511322.46809, 2479744126.767869, 2490865013.555781, 2496467857.494654, 2453921945.19823, 2130780202.1600316, 2266081879.618598, 2162715411.4905834]",0.9813829787234043,718.9295787980258
6,"[2204787996.6776586, 2107231256.3482263, 2148515049.985547, 2239014432.216593, 2481999078.503884, 2496763974.5511723, 2482137911.968874, 2460128175.969334, 2234504068.8741646, 2146388261.074699, 2275287520.3384895, 2145406024.3363175]",0.9804443053817271,724.6542029062375
7,"[2101534826.0222733, 2104569533.6551206, 2154420761.7604136, 2129143053.810594, 2134137939.6474555, 2448025437.818199, 2363377040.253515, 2402430178.894289, 2362511311.5670705, 2164415084.937751, 2175970811.2764254, 2145419567.6424572]",0.9153629536921152,771.3228070716509
8,"[2107176091.728041, 2105523208.2718039, 2167280950.711315, 1738538392.7264009, 2342200424.73601, 2492955434.651694, 2484349966.6218376, 2431599788.2138877, 2234089189.2397966, 2140121269.8235714, 2135468315.0600066, 2126676110.4670458]",0.9517756570713392,749.7404472642035
9,"[2100618979.2719152, 2109913939.9758134, 2118753771.1069033, 2138472716.8719316, 2135860194.3450718, 2472065804.476155, 2491406170.5862603, 2489312029.8435507, 2238900435.1050906, 2141748354.0154347, 2135772451.9864528, 2123150645.3289826]",0.927683041301627,770.1010977804375
