Solution number,reduction,reduction_depth,baltimore_vol_rel,baltimore_reservoir_fraction,chester_rel
0,0.051634598607551485,1.3243199594641495,0.9329088830598677,0.9228459101683002,0.8393427658603377
1,0.6716938347780428,5.172774994680271,0.976025108883837,0.9269739844819717,0.8384299406663624
2,0.9996074609384872,0.009753213228724371,0.999985308898656,0.7659375556072623,0.8845276129621178
3,0.9999999997143134,0.9528168704364407,0.999999999988656,0.8060246463243094,0.8644454586946599
4,0.6205371149890443,0.23945321074982173,0.9835467941232127,0.8427859789020558,0.8603377453217709
5,0.953235459473656,0.06584628654004965,0.9982284541927491,0.7767785003488008,0.8795070743952533
6,0.18800602356950757,1.7071640096266743,0.9473741923080192,0.9138231401785454,0.8411684162482884
7,0.3875056721622862,1.2691810770435095,0.9681312855438156,0.8922572858370056,0.847558192606116
8,0.9996089553635477,0.05291776719625249,0.9999853648287588,0.7682184322296339,0.8822455499771794
9,0.19864534186316918,1.0195869760001475,0.9491609778726519,0.9091780496382119,0.8452761296211775
10,0.6716938347780428,5.152037603968878,0.976025108883837,0.925747706371925,0.83888635326335
11,0.42298351817110913,1.224011667586635,0.9718207377655448,0.8890001401866283,0.8480146052031036
12,0.39775351458766034,0.2732558010191727,0.9722378388741915,0.8821941404554422,0.8507530807850296
13,0.9958528748411416,0.24584942327038964,0.999841004786242,0.7784898637330074,0.8781378366042902
14,0.7994470559592716,0.44480964522716077,0.9917618598979161,0.818809826796732,0.8644454586946599
15,0.9562141732520213,0.023734784284008492,0.9983612789624214,0.7744736153940568,0.8804198995892286
16,0.5068286564471085,0.59506053376708,0.9781663074739247,0.8717577351481969,0.8521223185759927
17,0.3636134913296354,1.450768193188788,0.9654358765258907,0.8973931875961095,0.8461889548151529
18,0.19748938311767644,0.10877995454021716,0.9516515739714893,0.9049607932983005,0.8466453674121406
19,0.14968659273312745,0.2815062223520518,0.9456668749350239,0.9115074516732421,0.8457325422181652
20,0.5988435257706088,0.5106109012614186,0.9826061775208615,0.8541459049913381,0.8548607941579187
21,0.44366990103521403,1.0142213101826725,0.9743544774096559,0.8854584999772238,0.848927430397079
22,0.2183078400513881,0.2836026653482335,0.9539761348090502,0.9042565491469585,0.8466453674121406
23,0.9918725314987664,0.02098653259076594,0.9996958227215422,0.7674591231967283,0.8831583751711547
24,0.42518915881711694,0.5817975627261501,0.9735025582111038,0.8836519965806496,0.8498402555910542
25,0.08876277865816917,1.3825264268134834,0.936783177707002,0.919605898769958,0.8402555910543131
26,0.28505321326080607,0.24981953278322577,0.9611690243624079,0.8959879838130406,0.8484710178000913
27,0.8947855982827028,1.808823050446552,0.9954379880588117,0.8418828146428845,0.8493838429940667
28,0.8697213287843873,1.016481720598026,0.9945296039471309,0.8254281497882312,0.8594249201277955
29,0.25019392044919586,1.5425042106645857,0.9544846149793441,0.9084653772152975,0.8420812414422638
30,0.10943538925800317,0.5135575714051902,0.9402496587042108,0.9164246104723224,0.8420812414422638
31,0.3674232933968291,0.06658335149468275,0.969973538344715,0.8822682063289498,0.8507530807850296
32,0.9521127798826884,0.5632612378498039,0.9980984992468249,0.7995062854602487,0.8694659972615244
33,0.3215065194815433,0.3830334858931246,0.9640779353080142,0.8927624773125646,0.848927430397079
34,0.3789673343154225,1.486576563728455,0.9662697913206457,0.8960458124379158,0.8457325422181652
35,0.09086856781409625,0.5982710854328955,0.9381740833429026,0.9188474048393113,0.8402555910543131
